EPI_ISL_501619;1209,1237;
EPI_ISL_626382;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_444476;860,697;930,860;
EPI_ISL_626384;928,1340;1338,928;
EPI_ISL_444480;942,1224;1222,942;
EPI_ISL_444482;1548,1515;1515,1550;
EPI_ISL_626390;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_626400;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_511712;1548,1515;1515,1550;
EPI_ISL_511714;1548,1515;1515,1550;
EPI_ISL_511726;437,440;435,437;
EPI_ISL_511727;1847,2031;2088,1847;
EPI_ISL_511734;437,440;435,437;
EPI_ISL_511736;942,1224;1222,942;1988,1848;1848,1860;
EPI_ISL_444530;1253,922;922,1255;
EPI_ISL_511742;437,440;435,437;
EPI_ISL_511746;251,279;1997,2076;277,251;1963,1997;
EPI_ISL_626434;1902,1841;1841,1982;
EPI_ISL_626436;1323,1049;1049,1325;
EPI_ISL_444549;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_626437;1178,827;827,1180;
EPI_ISL_511762;437,440;435,437;
EPI_ISL_626439;1902,1841;1841,1982;
EPI_ISL_444554;1624,1628;1622,1624;
EPI_ISL_444555;1253,922;922,1255;
EPI_ISL_569879;1476,1480;1474,1476;
EPI_ISL_444559;1902,1841;1841,1982;
EPI_ISL_626444;160,107;107,162;
EPI_ISL_444560;1908,2065;2063,1908;
EPI_ISL_444561;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_569882;1373,1019;1019,711;
EPI_ISL_444564;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_511805;2067,1862;1862,2069;
EPI_ISL_444566;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_511807;799,1307;1305,799;
EPI_ISL_444567;1902,1841;1550,1523;1523,1552;1841,1982;
EPI_ISL_444568;1847,2031;48,108;2088,1847;173,48;
EPI_ISL_444569;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_444570;347,363;361,347;
EPI_ISL_511810;1529,1544;1542,1529;
EPI_ISL_444572;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_569891;1888,2071;2069,1888;
EPI_ISL_444573;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_511814;799,1307;1305,799;
EPI_ISL_444577;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_511820;627,1139;1137,627;
EPI_ISL_444583;1253,922;922,1255;
EPI_ISL_444585;1902,1841;1841,1982;
EPI_ISL_444588;1902,1841;1841,1982;
EPI_ISL_626464;1902,1841;1841,1982;
EPI_ISL_569905;1624,1628;1622,1624;
EPI_ISL_444590;1253,922;922,1255;
EPI_ISL_626465;928,1340;1338,928;
EPI_ISL_626467;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_444594;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_626468;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_444596;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_569910;1369,659;659,1370;
EPI_ISL_444597;1902,1841;1841,1982;
EPI_ISL_511835;1156,889;889,1069;
EPI_ISL_511837;2067,1862;1862,2069;
EPI_ISL_444603;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_444604;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_444606;1847,2031;48,108;2088,1847;173,48;
EPI_ISL_511844;2045,2022;2022,2047;
EPI_ISL_444613;437,440;435,437;
EPI_ISL_569923;1492,1502;1500,1492;
EPI_ISL_444614;437,440;435,437;
EPI_ISL_511850;799,1307;1305,799;
EPI_ISL_569926;1979,2084;2083,1979;
EPI_ISL_626483;2067,1862;1862,2069;
EPI_ISL_444622;137,56;56,110;
EPI_ISL_626486;1323,1049;1049,1325;
EPI_ISL_626487;157,102;102,159;
EPI_ISL_626493;284,219;219,286;
EPI_ISL_511866;1902,1841;1841,1982;
EPI_ISL_626494;717,1172;1170,717;
EPI_ISL_511869;1902,1841;1841,1982;
EPI_ISL_511871;1902,1841;1841,1982;
EPI_ISL_444642;1067,1370;1369,1067;
EPI_ISL_569945;1624,1628;1622,1624;
EPI_ISL_569948;1979,2084;2083,1979;
EPI_ISL_626504;1877,2062;2060,1877;
EPI_ISL_626506;1712,1741;1739,1712;
EPI_ISL_444650;288,220;220,290;1146,864;864,1148;
EPI_ISL_444652;1847,2031;2088,1847;
EPI_ISL_511897;437,440;435,437;
EPI_ISL_511900;1548,1515;1515,1550;
EPI_ISL_511901;1847,2031;2088,1847;
EPI_ISL_626513;1624,1628;1622,1624;
EPI_ISL_511903;2086,1925;1925,2087;
EPI_ISL_511905;1374,1042;1042,1375;
EPI_ISL_511907;1374,1042;1042,1375;
EPI_ISL_569964;160,107;107,162;
EPI_ISL_569965;164,84;84,166;
EPI_ISL_569967;160,107;107,162;
EPI_ISL_626521;2093,2100;
EPI_ISL_569968;1609,1581;1581,1595;
EPI_ISL_569969;1877,2062;2060,1877;679,1300;1298,679;
EPI_ISL_511915;188,314;312,188;
EPI_ISL_511916;1188,890;890,1190;
EPI_ISL_626524;1388,809;809,1390;
EPI_ISL_511917;312,188;947,661;188,314;1180,944;946,947;945,946;661,1186;944,945;
EPI_ISL_511918;1052,1068;1025,1159;312,188;188,314;1153,1052;1069,1025;763,1069;1068,763;
EPI_ISL_511919;1809,1771;1771,1811;188,314;312,188;
EPI_ISL_511920;1052,1068;1025,1159;312,188;188,314;1153,1052;1069,1025;763,1069;1068,763;
EPI_ISL_569975;337,354;352,337;
EPI_ISL_444679;137,56;56,110;
EPI_ISL_511923;188,314;312,188;
EPI_ISL_444681;137,56;56,110;
EPI_ISL_511924;696,1404;905,696;930,905;
EPI_ISL_444682;1902,1841;1841,1982;
EPI_ISL_511925;188,314;312,188;
EPI_ISL_626530;1388,809;809,1390;
EPI_ISL_511926;347,363;361,347;930,905;905,697;
EPI_ISL_626531;1323,1049;1049,1325;
EPI_ISL_511927;347,363;361,347;930,905;905,697;
EPI_ISL_569980;1047,1185;1184,1047;
EPI_ISL_511928;948,1142;1140,948;930,905;905,697;
EPI_ISL_626533;1548,1515;1515,1550;
EPI_ISL_511929;1924,1860;1988,1924;
EPI_ISL_569982;860,697;786,860;785,786;
EPI_ISL_511930;1924,1860;1988,1924;
EPI_ISL_444688;1826,1830;1825,1826;
EPI_ISL_444692;186,316;314,186;
EPI_ISL_511935;1924,1860;1988,1924;
EPI_ISL_511936;264,317;188,264;312,188;
EPI_ISL_569987;860,697;786,860;785,786;
EPI_ISL_626540;2093,2100;
EPI_ISL_511939;1924,1860;1988,1924;
EPI_ISL_511940;186,187;314,186;187,317;
EPI_ISL_444698;137,56;56,110;
EPI_ISL_569992;1047,1185;1979,2084;2083,1979;1184,1047;
EPI_ISL_569993;1047,1185;1184,1047;
EPI_ISL_569995;1047,1185;1184,1047;
EPI_ISL_511945;188,314;312,188;
EPI_ISL_626546;1533,1539;1504,1533;
EPI_ISL_511946;1052,1068;1025,1159;312,188;188,314;1153,1052;1069,1025;763,1069;1068,763;
EPI_ISL_511947;188,314;312,188;
EPI_ISL_569997;2062,1835;1835,2064;
EPI_ISL_511948;188,314;312,188;
EPI_ISL_444706;1123,982;982,1125;
EPI_ISL_569999;1609,1581;1581,1595;
EPI_ISL_511950;188,314;312,188;
EPI_ISL_570000;1340,804;804,1342;2031,2092;
EPI_ISL_444709;2076,2078;
EPI_ISL_626550;2041,1921;1921,2043;
EPI_ISL_626551;1156,889;889,1069;
EPI_ISL_511953;188,314;1693,1697;1665,1693;312,188;
EPI_ISL_570002;1894,1963;1123,982;2073,1894;982,1125;
EPI_ISL_511954;188,314;1700,1702;1702,1705;312,188;
EPI_ISL_626552;2041,1921;1921,2043;
EPI_ISL_511955;437,440;435,437;
EPI_ISL_511956;2057,1915;1915,2059;
EPI_ISL_570004;126,26;1999,1845;1845,1961;26,128;
EPI_ISL_511957;2057,1915;1915,2059;
EPI_ISL_511959;1029,1367;1365,1029;
EPI_ISL_626555;2041,1921;1921,2043;
EPI_ISL_626556;2041,1921;1921,2043;
EPI_ISL_570008;1047,1185;1979,2084;2083,1979;1184,1047;
EPI_ISL_511961;1999,2104;
EPI_ISL_626557;2041,1921;1921,2043;
EPI_ISL_626558;2041,1921;1921,2043;
EPI_ISL_626559;2041,1921;1921,2043;
EPI_ISL_570011;1159,714;714,1161;
EPI_ISL_570015;1047,1185;1184,1047;
EPI_ISL_570016;2062,1835;1640,1643;1835,2064;1643,1646;
EPI_ISL_511970;1597,1620;1617,1597;1988,1848;1848,1860;
EPI_ISL_626564;2041,1921;1921,2043;
EPI_ISL_444728;687,1167;1165,687;
EPI_ISL_570017;1047,1185;1184,1047;
EPI_ISL_511973;437,440;435,437;
EPI_ISL_626566;1133,1055;1055,1135;736,769;1166,736;164,31;769,1169;31,166;
EPI_ISL_626567;1133,1055;1055,1135;736,769;1166,736;164,31;769,1169;31,166;
EPI_ISL_626568;1133,1055;1055,1135;736,769;1166,736;164,31;769,1169;31,166;
EPI_ISL_626569;1133,1055;1055,1135;736,769;1166,736;164,31;769,1169;31,166;
EPI_ISL_570022;295,235;235,216;
EPI_ISL_626571;1988,1848;1848,1860;
EPI_ISL_511980;437,440;435,437;
EPI_ISL_626572;631,1365;1988,1848;1363,631;1848,1860;
EPI_ISL_626573;1988,1848;1848,1860;
EPI_ISL_626575;827,1180;1178,827;1566,1569;1565,1566;
EPI_ISL_626577;1988,1848;1848,1860;
EPI_ISL_511988;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626578;1988,1848;1848,1860;
EPI_ISL_511989;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_511990;171,106;106,173;
EPI_ISL_511991;556,512;512,558;
EPI_ISL_626581;1988,1848;1848,1860;
EPI_ISL_511994;1300,638;638,1302;
EPI_ISL_511995;667,668;668,1252;
EPI_ISL_511997;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626584;1988,1848;1848,1860;
EPI_ISL_626585;1686,1649;1649,1688;
EPI_ISL_626586;667,668;668,1252;
EPI_ISL_570040;1979,2084;2083,1979;
EPI_ISL_512000;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_512001;556,512;1629,1634;1628,1629;1916,2060;2058,1916;512,558;
EPI_ISL_626588;1178,827;1566,1569;827,1180;1565,1566;160,107;107,162;
EPI_ISL_626590;2040,1994;1994,2042;
EPI_ISL_444763;1374,1042;1042,1375;
EPI_ISL_512006;556,512;1629,1634;1628,1629;1916,2060;2058,1916;512,558;
EPI_ISL_626592;1988,1932;1932,1860;
EPI_ISL_512007;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626594;1988,1848;1848,1860;
EPI_ISL_626595;162,85;85,164;
EPI_ISL_512010;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_512011;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626596;1988,1848;1848,1860;
EPI_ISL_444772;284,219;219,286;
EPI_ISL_626598;1988,1848;1848,1860;
EPI_ISL_512014;1833,2091;2031,1833;
EPI_ISL_626599;1988,1848;1848,1860;
EPI_ISL_512016;667,668;668,1252;
EPI_ISL_626600;1988,1848;1848,1860;
EPI_ISL_512017;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626601;1988,1848;1848,1860;
EPI_ISL_512018;1903,1886;1886,2055;
EPI_ISL_626602;1988,1848;1848,1860;
EPI_ISL_512019;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_512022;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_512023;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_444783;784,785;435,437;1401,784;860,697;786,860;437,440;785,786;
EPI_ISL_512024;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626607;1988,1848;1848,1860;
EPI_ISL_512026;667,668;668,1252;
EPI_ISL_444786;784,785;435,437;1401,784;860,697;786,860;437,440;785,786;
EPI_ISL_570066;1471,1477;1470,1471;
EPI_ISL_626609;1988,1848;1848,1860;
EPI_ISL_570069;507,566;564,507;
EPI_ISL_626611;1988,1848;1848,1860;
EPI_ISL_626612;1988,1848;1848,1860;
EPI_ISL_626613;1988,1848;1848,1860;
EPI_ISL_512034;556,512;512,558;
EPI_ISL_626616;50,169;1916,2060;2058,1916;1988,1848;1848,1860;167,50;
EPI_ISL_512037;556,512;512,558;
EPI_ISL_512038;556,512;512,558;
EPI_ISL_570077;1061,678;678,1101;1098,1060;1060,1061;
EPI_ISL_512039;556,512;1629,1634;1628,1629;1916,2060;2058,1916;512,558;
EPI_ISL_626618;1988,1848;1848,1860;
EPI_ISL_626619;1988,1848;1848,1860;
EPI_ISL_512043;556,512;1987,1988;1916,2060;2058,1916;2082,1987;512,558;
EPI_ISL_626622;50,169;1916,2060;2058,1916;1988,1848;1848,1860;167,50;
EPI_ISL_626623;1988,1848;1848,1860;
EPI_ISL_512045;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_512046;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626625;1988,1848;1848,1860;
EPI_ISL_626626;1133,1055;1055,1135;736,769;1166,736;164,31;769,1169;31,166;
EPI_ISL_512048;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626627;1133,1055;1055,1135;736,769;1166,736;164,31;769,1169;31,166;
EPI_ISL_512049;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626629;1852,2049;2047,1852;
EPI_ISL_512051;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626630;1803,1794;1794,1805;
EPI_ISL_512052;1908,2065;2063,1908;
EPI_ISL_570091;1123,982;982,1125;
EPI_ISL_626631;282,258;258,284;
EPI_ISL_512053;556,512;1987,1988;1916,2060;2058,1916;2082,1987;512,558;
EPI_ISL_570092;1171,962;962,1173;
EPI_ISL_626632;1448,1454;1454,1457;
EPI_ISL_512054;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_626633;631,1365;1363,631;
EPI_ISL_626636;622,1405;697,622;
EPI_ISL_512062;133,53;53,135;
EPI_ISL_626637;1677,1660;831,1188;1660,1679;1186,831;
EPI_ISL_570099;2063,1908;1908,2065;1884,2043;2041,1884;
EPI_ISL_626640;50,169;167,50;
EPI_ISL_512070;1847,2031;2088,1847;
EPI_ISL_512071;1847,2031;2088,1847;
EPI_ISL_570104;1471,1477;1458,1459;1459,1462;1470,1471;
EPI_ISL_626644;2067,1862;1862,2069;
EPI_ISL_626645;2067,1862;1862,2069;
EPI_ISL_444860;7,174;172,7;
EPI_ISL_512087;1988,1848;1848,1860;
EPI_ISL_512088;1988,1848;1848,1860;
EPI_ISL_626659;2041,1921;1921,2043;
EPI_ISL_444864;671,1183;1181,671;
EPI_ISL_512089;1833,2091;2031,1833;
EPI_ISL_512090;1988,1848;1848,1860;
EPI_ISL_512091;1988,1848;1848,1860;
EPI_ISL_512095;1833,2091;2031,1833;
EPI_ISL_512096;1988,1848;1848,1860;
EPI_ISL_570119;437,440;435,437;
EPI_ISL_512097;1988,1848;1848,1860;
EPI_ISL_512098;1030,1018;1018,1191;1186,831;831,1030;
EPI_ISL_512099;1988,1848;1848,1860;
EPI_ISL_512100;359,333;333,361;
EPI_ISL_512101;1988,1848;1848,1860;
EPI_ISL_626669;1533,1539;1504,1533;
EPI_ISL_512102;1833,2091;2031,1833;
EPI_ISL_626670;288,246;246,290;
EPI_ISL_512103;1988,1848;1848,1860;
EPI_ISL_570124;869,1263;1261,869;
EPI_ISL_512104;1988,1848;1848,1860;
EPI_ISL_512105;1988,1848;1848,1860;
EPI_ISL_512106;1988,1848;1848,1860;
EPI_ISL_626673;285,213;213,287;
EPI_ISL_626675;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_444885;1910,2053;2051,1910;
EPI_ISL_626676;285,213;213,287;
EPI_ISL_512141;1902,1841;1841,1982;
EPI_ISL_626679;764,1104;1102,764;
EPI_ISL_570135;126,26;26,128;
EPI_ISL_512144;1760,1764;1759,1760;
EPI_ISL_512147;693,697;930,693;
EPI_ISL_570139;120,15;25,26;22,23;23,24;18,19;28,130;19,20;16,17;24,25;20,21;21,22;15,16;17,18;26,27;27,28;
EPI_ISL_626685;144,75;75,146;
EPI_ISL_570142;120,15;25,26;22,23;23,24;18,19;28,130;19,20;16,17;24,25;20,21;21,22;15,16;17,18;26,27;27,28;
EPI_ISL_512155;1999,2104;
EPI_ISL_444905;1548,1515;1515,1550;
EPI_ISL_626691;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_626692;1141,1041;277,189;189,279;1988,1848;1848,1860;1041,1143;
EPI_ISL_570151;1099,1036;1036,1100;
EPI_ISL_570152;1979,2084;2083,1979;
EPI_ISL_512163;194,298;216,194;
EPI_ISL_626697;285,213;213,287;
EPI_ISL_444916;1223,810;810,1225;
EPI_ISL_626699;1888,2071;2069,1888;1990,2096;2094,1990;1374,1042;1042,1375;
EPI_ISL_570157;364,330;330,369;
EPI_ISL_626702;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_570161;126,26;26,128;
EPI_ISL_626707;162,85;85,164;
EPI_ISL_570165;155,88;88,157;
EPI_ISL_570166;150,83;83,152;
EPI_ISL_626709;285,213;213,287;
EPI_ISL_626710;285,213;213,287;
EPI_ISL_570169;432,433;433,438;
EPI_ISL_626711;2078,2095;
EPI_ISL_626712;285,213;213,287;
EPI_ISL_444934;522,574;572,522;
EPI_ISL_570171;1927,2031;2088,1927;
EPI_ISL_512181;1173,595;595,1175;
EPI_ISL_626714;285,213;213,287;
EPI_ISL_626720;1547,1522;1522,1549;
EPI_ISL_444943;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_570180;1123,982;982,1125;
EPI_ISL_626722;285,213;213,287;
EPI_ISL_512191;1151,898;898,1153;
EPI_ISL_570182;1847,2031;2088,1847;
EPI_ISL_570190;1927,2031;2088,1927;
EPI_ISL_512201;1455,1461;1457,1455;
EPI_ISL_512202;284,219;219,286;
EPI_ISL_626734;285,213;213,287;
EPI_ISL_626735;428,422;857,1254;422,430;1252,857;
EPI_ISL_626736;285,213;213,287;
EPI_ISL_444965;1356,808;808,1358;
EPI_ISL_512208;1979,2084;2083,1979;
EPI_ISL_570197;50,169;167,50;
EPI_ISL_626739;1159,714;714,1161;
EPI_ISL_444971;1988,1848;1848,1860;
EPI_ISL_444973;1988,1848;1848,1860;
EPI_ISL_570201;507,566;564,507;
EPI_ISL_512215;666,667;1249,666;
EPI_ISL_626742;285,213;213,287;
EPI_ISL_570202;1927,2031;2088,1927;
EPI_ISL_512216;1963,2108;
EPI_ISL_444975;2043,1922;1922,2045;1988,1848;1848,1860;
EPI_ISL_512217;1963,2108;
EPI_ISL_626744;1399,950;950,688;
EPI_ISL_444977;1988,1848;1848,1860;
EPI_ISL_512218;1963,2108;
EPI_ISL_512219;1963,2108;
EPI_ISL_626746;1533,1539;1504,1533;
EPI_ISL_444979;158,8;8,160;
EPI_ISL_626747;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_444980;1988,1848;1848,1860;
EPI_ISL_626748;285,213;213,287;
EPI_ISL_626749;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_444982;1585,1605;1569,1585;1988,1848;1848,1860;
EPI_ISL_570210;666,667;1249,666;
EPI_ISL_444985;1988,1848;1848,1860;
EPI_ISL_626752;288,246;246,290;
EPI_ISL_570212;1559,1560;1560,1563;
EPI_ISL_444995;1789,1814;1812,1789;
EPI_ISL_626757;1988,1848;1848,1860;
EPI_ISL_444998;1548,1515;1515,1550;
EPI_ISL_444999;1548,1515;1515,1550;
EPI_ISL_445000;1548,1515;1515,1550;
EPI_ISL_512237;1178,827;827,1180;
EPI_ISL_626763;285,213;1759,1760;213,287;1760,1764;
EPI_ISL_512241;278,192;192,280;
EPI_ISL_626764;1888,2071;2069,1888;1990,2096;2094,1990;1374,1042;1042,1375;
EPI_ISL_570228;666,667;1249,666;
EPI_ISL_626767;1504,1535;1535,1539;
EPI_ISL_570229;1533,1539;1504,1533;
EPI_ISL_512248;144,75;75,146;
EPI_ISL_512249;1123,982;982,1125;
EPI_ISL_626770;2041,1921;1921,2043;
EPI_ISL_445016;1902,1841;1842,2055;1841,1842;
EPI_ISL_626771;285,213;865,1405;697,865;213,287;
EPI_ISL_445017;1902,1841;1842,2055;1841,1842;
EPI_ISL_512252;278,192;192,280;
EPI_ISL_445018;144,6;6,146;
EPI_ISL_626773;1547,1522;1522,1549;
EPI_ISL_512254;133,53;222,291;53,135;289,222;
EPI_ISL_445021;144,6;6,146;
EPI_ISL_445023;1902,1841;1842,2055;1841,1842;
EPI_ISL_445024;1902,1841;1841,1842;2045,2022;1842,2055;2022,2047;
EPI_ISL_445025;1902,1841;1842,2055;1841,1842;
EPI_ISL_626780;288,246;246,290;
EPI_ISL_512263;2076,2078;
EPI_ISL_626782;564,507;235,216;446,447;1988,1848;1848,1860;507,566;295,235;447,451;
EPI_ISL_445031;144,6;6,146;
EPI_ISL_512267;278,192;192,280;
EPI_ISL_626785;1988,1848;1848,1860;
EPI_ISL_626786;1547,1517;1517,1549;
EPI_ISL_512270;133,53;222,291;53,135;289,222;
EPI_ISL_570251;1061,678;678,1101;1098,1060;1060,1061;
EPI_ISL_445038;144,6;6,146;
EPI_ISL_626789;1425,1427;1423,1425;
EPI_ISL_445039;144,6;6,146;
EPI_ISL_512297;1243,681;681,1245;
EPI_ISL_512298;627,1139;1137,627;
EPI_ISL_445047;144,6;6,146;
EPI_ISL_512303;1374,1042;1042,1375;
EPI_ISL_512331;1123,982;982,1125;
EPI_ISL_512332;1123,982;982,1125;
EPI_ISL_512333;1123,982;982,1125;
EPI_ISL_512334;2041,1921;437,440;435,437;1921,2043;
EPI_ISL_512335;2041,1921;437,440;435,437;1921,2043;
EPI_ISL_512337;1239,899;899,1241;
EPI_ISL_570270;241,298;216,241;
EPI_ISL_445068;1182,960;960,1184;
EPI_ISL_512345;1927,2031;2088,1927;
EPI_ISL_512347;1927,2031;2088,1927;
EPI_ISL_626810;1533,1539;1504,1533;
EPI_ISL_626812;288,246;246,290;
EPI_ISL_445075;73,147;145,73;
EPI_ISL_626815;285,213;213,287;
EPI_ISL_626816;1547,1517;1517,1549;
EPI_ISL_570285;993,1386;1384,993;
EPI_ISL_626817;285,213;865,1405;697,865;213,287;
EPI_ISL_570286;865,1405;697,865;
EPI_ISL_626818;1905,2082;2080,1905;
EPI_ISL_570287;25,127;24,25;
EPI_ISL_626820;1533,1539;1504,1533;
EPI_ISL_445084;1902,1841;1841,1982;
EPI_ISL_445088;1927,2031;2088,1927;
EPI_ISL_512364;2090,1865;1114,646;1865,1866;646,1116;
EPI_ISL_512366;1988,1848;1848,1860;
EPI_ISL_512367;437,440;435,437;
EPI_ISL_512369;142,99;99,144;
EPI_ISL_626827;1988,1848;1848,1860;
EPI_ISL_512372;1988,1848;1848,1860;
EPI_ISL_512373;437,440;435,437;
EPI_ISL_570300;986,1239;985,986;984,985;1233,983;983,984;
EPI_ISL_512374;437,440;435,437;
EPI_ISL_626831;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_445106;2043,1850;1850,2045;
EPI_ISL_570304;521,550;548,521;
EPI_ISL_445109;1927,2031;2088,1927;
EPI_ISL_445110;1927,2031;2088,1927;
EPI_ISL_626835;1988,1848;1848,1860;
EPI_ISL_626838;134,101;101,136;
EPI_ISL_570310;666,667;1249,666;
EPI_ISL_626839;134,101;2047,1966;1966,2049;101,136;
EPI_ISL_512384;437,440;435,437;
EPI_ISL_512385;437,440;435,437;
EPI_ISL_512386;437,440;435,437;
EPI_ISL_626841;134,101;101,136;
EPI_ISL_626842;134,101;101,136;
EPI_ISL_626843;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_626844;1854,2090;2089,1854;
EPI_ISL_512391;437,440;435,437;
EPI_ISL_626846;1854,2090;2089,1854;
EPI_ISL_570318;1818,1819;1819,1821;
EPI_ISL_445130;1905,2082;2080,1905;
EPI_ISL_445131;1757,1758;1758,1762;2039,2079;
EPI_ISL_626851;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_512400;437,440;435,437;
EPI_ISL_445135;1156,889;889,1069;
EPI_ISL_512406;437,440;435,437;
EPI_ISL_570331;25,127;24,25;
EPI_ISL_445141;1677,1660;1660,1679;
EPI_ISL_512411;437,440;435,437;
EPI_ISL_512412;437,440;435,437;
EPI_ISL_512413;1987,1988;2082,1987;
EPI_ISL_626863;1504,1535;1535,1539;
EPI_ISL_570340;1990,2096;2094,1990;
EPI_ISL_512422;437,440;435,437;
EPI_ISL_626873;1826,1830;1825,1826;
EPI_ISL_626874;288,246;246,290;
EPI_ISL_570352;1908,2065;2063,1908;
EPI_ISL_626877;1533,1539;1504,1533;
EPI_ISL_570354;1908,2065;2063,1908;
EPI_ISL_445171;679,1300;1298,679;
EPI_ISL_626883;2041,1921;643,1230;235,216;1921,2043;295,235;1228,643;
EPI_ISL_626884;679,1300;1298,679;
EPI_ISL_512445;1385,788;788,1387;
EPI_ISL_445213;1118,1076;1076,1271;
EPI_ISL_512452;1908,2065;2063,1908;
EPI_ISL_626897;288,246;246,290;
EPI_ISL_445228;610,1112;1110,610;2088,1847;1847,2031;
EPI_ISL_570378;1400,635;635,1401;
EPI_ISL_626899;721,1309;1307,721;
EPI_ISL_570379;1497,1491;1491,1499;
EPI_ISL_626901;1547,1517;1517,1549;
EPI_ISL_570381;1927,2031;2088,1927;
EPI_ISL_626903;1343,751;751,845;
EPI_ISL_626904;288,246;246,290;
EPI_ISL_570388;1990,2096;2094,1990;
EPI_ISL_445241;1847,2031;2088,1847;
EPI_ISL_626909;285,213;865,1405;697,865;213,287;
EPI_ISL_445243;1474,1475;142,99;1475,1480;99,144;
EPI_ISL_626910;144,75;75,146;
EPI_ISL_570391;360,327;327,362;
EPI_ISL_626911;285,213;865,1405;697,865;213,287;
EPI_ISL_626912;285,213;213,287;
EPI_ISL_626913;285,213;1247,1088;1088,1249;213,287;
EPI_ISL_512477;1833,2091;2031,1833;
EPI_ISL_512478;1833,2091;2031,1833;
EPI_ISL_570395;50,169;167,50;
EPI_ISL_626915;285,213;213,287;
EPI_ISL_512479;1833,2091;2031,1833;
EPI_ISL_626916;285,213;865,1405;697,865;213,287;
EPI_ISL_445249;437,440;435,437;
EPI_ISL_512480;1833,2091;2031,1833;
EPI_ISL_570397;1400,635;635,1401;
EPI_ISL_626917;134,101;101,136;
EPI_ISL_570399;50,169;167,50;
EPI_ISL_445252;1988,1848;1848,1860;
EPI_ISL_626920;679,1300;1298,679;
EPI_ISL_626921;1504,1535;1535,1539;
EPI_ISL_626925;1910,2053;2051,1910;
EPI_ISL_512491;211,322;320,211;
EPI_ISL_570408;282,258;1999,1845;258,284;1845,1961;
EPI_ISL_626927;134,101;101,136;
EPI_ISL_626928;1504,1535;1535,1539;
EPI_ISL_512494;2090,1865;1865,1866;
EPI_ISL_626930;679,1300;1298,679;
EPI_ISL_626932;1547,1517;1517,1549;
EPI_ISL_626933;1854,2090;2089,1854;
EPI_ISL_626934;1854,2090;2089,1854;
EPI_ISL_512500;211,322;320,211;
EPI_ISL_626935;1854,2090;2089,1854;
EPI_ISL_512501;2090,1865;1865,1866;
EPI_ISL_445273;1988,1848;1848,1860;
EPI_ISL_570419;1854,2090;2089,1854;
EPI_ISL_626938;2057,1915;1915,2059;
EPI_ISL_626939;1547,1517;134,101;1517,1549;101,136;
EPI_ISL_626940;285,213;213,287;
EPI_ISL_570423;1854,2090;2089,1854;
EPI_ISL_570425;1854,2090;2089,1854;
EPI_ISL_445287;2038,2040;
EPI_ISL_626947;2041,1921;643,1230;235,216;1921,2043;295,235;1228,643;
EPI_ISL_626949;1565,1567;1567,1569;
EPI_ISL_570435;1400,635;635,1401;
EPI_ISL_626951;1565,1567;1567,1569;
EPI_ISL_570436;79,158;156,79;
EPI_ISL_445303;437,440;435,437;
